show,she hulk,lord of the rings,andor,rick and morty,house of the dragon,Star Wars: The Bad Batch
release date ,18 August 2022,September 1,September 21,September 4,21 August,septemeber 28
day of the week,thursday,Friday,Wednesday,Monday ,Sunday,Wednesday
